datetime,pm25,unit,hour,day,pm25_rolling
2025-11-27 15:00:00+00:00,3.858888886372248,µg/m³,15,27,
2025-11-27 16:00:00+00:00,4.400500005980333,µg/m³,16,27,
2025-11-27 17:00:00+00:00,0.341555556986067,µg/m³,17,27,2.8669814831128826
2025-11-27 18:00:00+00:00,6.114000004529952,µg/m³,18,27,3.6186851891654506
2025-11-27 19:00:00+00:00,2.5376666903495786,µg/m³,19,27,2.997740750621866
2025-11-27 20:00:00+00:00,7.236333338419595,µg/m³,20,27,5.296000011099708
2025-11-27 21:00:00+00:00,17.921249961853025,µg/m³,21,27,9.231749996874067
2025-11-27 22:00:00+00:00,8.346833326419192,µg/m³,22,27,11.168138875563939
2025-11-27 23:00:00+00:00,7.840999991695086,µg/m³,23,27,11.369694426655768
2025-11-28 00:00:00+00:00,2.6755000054836278,µg/m³,0,28,6.2877777745326355
2025-11-28 01:00:00+00:00,5.860999997456869,µg/m³,1,28,5.459166664878528
2025-11-28 02:00:00+00:00,5.111166672905286,µg/m³,2,28,4.549222225281928
2025-11-28 03:00:00+00:00,3.465999998648961,µg/m³,3,28,4.812722223003705
2025-11-28 04:00:00+00:00,3.4388333290815347,µg/m³,4,28,4.00533333354526
2025-11-28 05:00:00+00:00,1.3136666662991046,µg/m³,5,28,2.7394999980098667
2025-11-28 06:00:00+00:00,1.8063750096907216,µg/m³,6,28,2.18629166835712
2025-11-28 07:00:00+00:00,3.080500002702077,µg/m³,7,28,2.0668472262306348
2025-11-28 08:00:00+00:00,4.244083325068156,µg/m³,8,28,3.0436527791536516
2025-11-28 09:00:00+00:00,11.323555554283992,µg/m³,9,28,6.216046294018075
2025-11-28 10:00:00+00:00,5.380166660745939,µg/m³,10,28,6.982601846699363
2025-11-28 11:00:00+00:00,4.890999984741211,µg/m³,11,28,7.198240733257048
2025-11-28 12:00:00+00:00,4.822166665395101,µg/m³,12,28,5.031111103627417
2025-11-28 13:00:00+00:00,5.080499998728435,µg/m³,13,28,4.931222216288249
2025-11-28 14:00:00+00:00,4.547833347320557,µg/m³,14,28,4.816833337148031
2025-11-28 15:00:00+00:00,6.564166673024496,µg/m³,15,28,5.39750000635783
2025-11-28 16:00:00+00:00,9.64949998855591,µg/m³,16,28,6.920500002966988
2025-11-28 17:00:00+00:00,17.552833334604898,µg/m³,17,28,11.255499998728434
2025-11-28 18:00:00+00:00,24.147333335876468,µg/m³,18,28,17.116555553012425
2025-11-28 19:00:00+00:00,25.125000000000004,µg/m³,19,28,22.275055556827123
2025-11-28 20:00:00+00:00,10.221833324432373,µg/m³,20,28,19.831388886769613
2025-11-28 21:00:00+00:00,12.424666659037271,µg/m³,21,28,15.923833327823216
2025-11-28 22:00:00+00:00,16.568291656176246,µg/m³,22,28,13.071597213215298
2025-11-28 23:00:00+00:00,14.702999973297118,µg/m³,23,28,14.565319429503546
2025-11-29 00:00:00+00:00,9.18633337020874,µg/m³,0,29,13.485874999894035
2025-11-29 01:00:00+00:00,17.31066672007243,µg/m³,1,29,13.733333354526096
2025-11-29 02:00:00+00:00,20.344666671752933,µg/m³,2,29,15.613888920678036
2025-11-29 03:00:00+00:00,8.591500027974446,µg/m³,3,29,15.415611139933269
2025-11-29 04:00:00+00:00,6.752833334604898,µg/m³,4,29,11.896333344777426
2025-11-29 05:00:00+00:00,3.055833334227403,µg/m³,5,29,6.133388898935583
2025-11-29 06:00:00+00:00,4.536166669925054,µg/m³,6,29,4.781611112919119
2025-11-29 07:00:00+00:00,5.935666656494141,µg/m³,7,29,4.509222220215534
2025-11-29 08:00:00+00:00,14.522541658083597,µg/m³,8,29,8.3314583281676
2025-11-29 09:00:00+00:00,20.339500013987223,µg/m³,9,29,13.599236109521655
2025-11-29 10:00:00+00:00,20.158999983469645,µg/m³,10,29,18.34034721851349
2025-11-29 11:00:00+00:00,20.736666679382324,µg/m³,11,29,20.411722225613065
2025-11-29 12:00:00+00:00,15.93849999109904,µg/m³,12,29,18.94472221798367
2025-11-29 13:00:00+00:00,11.508500003814696,µg/m³,13,29,16.061222224765356
2025-11-29 14:00:00+00:00,15.47800000508626,µg/m³,14,29,14.308333333333332
2025-11-29 15:00:00+00:00,26.35883328119914,µg/m³,15,29,17.7817777633667
2025-11-29 16:00:00+00:00,30.964833196004232,µg/m³,16,29,24.26722216076321
2025-11-29 17:00:00+00:00,33.99700015385946,µg/m³,17,29,30.44022221035428
2025-11-29 18:00:00+00:00,33.13933324813843,µg/m³,18,29,32.70038886600071
2025-11-29 19:00:00+00:00,38.39466654459636,µg/m³,19,29,35.17699998219808
2025-11-29 20:00:00+00:00,38.73070824940999,µg/m³,20,29,36.75490268071493
2025-11-29 21:00:00+00:00,37.59966684977213,µg/m³,21,29,38.24168054792616
2025-11-29 22:00:00+00:00,53.138833363850914,µg/m³,22,29,43.15640282101101
2025-11-29 23:00:00+00:00,47.7938336690267,µg/m³,23,29,46.17744462754991
2025-11-30 00:00:00+00:00,46.820332845052086,µg/m³,0,30,49.2509999593099
2025-11-30 01:00:00+00:00,26.741458312670392,µg/m³,1,30,40.451874942249724
2025-11-30 02:00:00+00:00,8.043833319346108,µg/m³,2,30,27.201874825689526
2025-11-30 03:00:00+00:00,8.213666661580403,µg/m³,3,30,14.332986097865634
2025-11-30 04:00:00+00:00,24.897333145141605,µg/m³,4,30,13.71827770868937
2025-11-30 05:00:00+00:00,31.263833459218336,µg/m³,5,30,21.458277755313446
2025-11-30 06:00:00+00:00,26.46900002161661,µg/m³,6,30,27.54338887532552
2025-11-30 07:00:00+00:00,28.3688333829244,µg/m³,7,30,28.700555621253116
2025-11-30 08:00:00+00:00,29.85816672643025,µg/m³,8,30,28.232000043657084
2025-11-30 09:00:00+00:00,30.150333277384437,µg/m³,9,30,29.459111128913026
2025-11-30 10:00:00+00:00,27.85170843601227,µg/m³,10,30,29.286736146608987
2025-11-30 11:00:00+00:00,33.55250015258789,µg/m³,11,30,30.518180621994862
2025-11-30 12:00:00+00:00,16.942772729469066,µg/m³,12,30,26.115660439356407
2025-11-30 13:00:00+00:00,12.818624997138976,µg/m³,13,30,21.10463262639864
2025-11-30 14:00:00+00:00,16.444833342234293,µg/m³,14,30,15.402077022947445
2025-11-30 15:00:00+00:00,25.152666727701824,µg/m³,15,30,18.138708355691698
2025-11-30 16:00:00+00:00,23.36733318964641,µg/m³,16,30,21.65494441986084
2025-11-30 17:00:00+00:00,15.322666676839196,µg/m³,17,30,21.280888864729146
2025-11-30 18:00:00+00:00,25.882333405812584,µg/m³,18,30,21.52411109076606
2025-11-30 19:00:00+00:00,41.45233357747396,µg/m³,19,30,27.55244455337525
2025-11-30 20:00:00+00:00,37.546666208903,µg/m³,20,30,34.960444397396515
2025-11-30 21:00:00+00:00,38.44166666666667,µg/m³,21,30,39.14688881768121
2025-11-30 22:00:00+00:00,50.016500091552736,µg/m³,22,30,42.001610989040806
2025-11-30 23:00:00+00:00,28.781333255767823,µg/m³,23,30,39.079833337995744
2025-12-01 00:00:00+00:00,10.6471666653951,µg/m³,0,1,29.815000004238556
2025-12-01 01:00:00+00:00,5.583166635533174,µg/m³,1,1,15.003888852232032
2025-12-01 02:00:00+00:00,8.900166670481363,µg/m³,2,1,8.376833323803213
2025-12-01 03:00:00+00:00,13.535777770148384,µg/m³,3,1,9.339703692054307
2025-12-01 04:00:00+00:00,17.683736109733584,µg/m³,4,1,13.373226850121108
2025-12-01 05:00:00+00:00,31.24100011189779,µg/m³,5,1,20.820171330593254
2025-12-01 06:00:00+00:00,18.586472219891014,µg/m³,6,1,22.503736147174127
2025-12-01 07:00:00+00:00,19.030333328247067,µg/m³,7,1,22.952601886678625
2025-12-01 09:00:00+00:00,20.244833215077723,µg/m³,9,1,19.287212921071937
2025-12-01 10:00:00+00:00,28.45816666285197,µg/m³,10,1,22.577777735392257
2025-12-01 11:00:00+00:00,34.48649975458781,µg/m³,11,1,27.72983321083917
2025-12-01 12:00:00+00:00,34.98933312098186,µg/m³,12,1,32.64466651280722
2025-12-01 13:00:00+00:00,47.47187519073487,µg/m³,13,1,38.982569355434855
2025-12-01 14:00:00+00:00,42.69183324178059,µg/m³,14,1,41.71768051783244
